subject,code,course,section,type,days,time
AAAS,106A,East Asian Civilizations (LEC),A 0,Lecture,MW,12:00 pm - 1:00 pm
AAAS,106A,East Asian Civilizations (DIS),A01,Discussion,F,10:50 am - 11:50 am
AAAS,106A,East Asian Civilizations (DIS),A02,Discussion,F,10:50 am - 11:50 am
AAAS,106A,East Asian Civilizations (DIS),A03,Discussion,F,12:00 pm - 1:00 pm
AAAS,106A,East Asian Civilizations (DIS),A04,Discussion,F,12:00 pm - 1:00 pm
AAAS,111,"Music Cultures: Far East, Asia",01,Discussion,TR,1:15 pm - 2:40 pm
AAAS,188F,Chinese Music Ensemble,01,Discussion,MW,1:10 pm - 2:10 pm
AAAS,210,Intro To Japanese Culture,01,Discussion,TR,1:15 pm - 2:40 pm
AAAS,219,Structure of Japanese,01,Discussion,TR,4:25 pm - 5:50 pm
AAAS,254,Pop Culture in Contemp Japan,90,Lecture,MW,5:50 pm - 7:15 pm
AAAS,259,Eastern Asia: Land and People,90,Lecture,TR,11:40 am - 1:05 pm
AAAS,272,Island Culture:TaiwanFilm&Fict,01,Discussion,TR,4:25 pm - 5:50 pm
AAAS,280A,Intro Asian American Studies,02,Discussion,TR,1:15 pm - 2:40 pm
AAAS,284A,China in Contemporary World,A 0,Lecture,MW,2:20 pm - 3:20 pm
AAAS,284A,China in Contemporary World,A01,Discussion,F,12:00 pm - 1:00 pm
AAAS,284A,China in Contemporary World,A02,Discussion,F,12:00 pm - 1:00 pm
AAAS,284A,China in Contemporary World,A03,Discussion,F,1:10 pm - 2:10 pm
AAAS,284A,China in Contemporary World,A04,Discussion,F,1:10 pm - 2:10 pm
AAAS,288A,Remembering Race,01,Discussion,TR,4:25 pm - 5:50 pm
AAAS,313,Religions & Culture of Korea,01,Discussion,TR,8:30 am - 9:55 am
AAAS,344,Buddhist Ethics,01,Discussion,TR,1:15 pm - 2:40 pm
AAAS,350,Modern Japanese Lit. in Trans,90,Lecture,TR,11:40 am - 1:05 pm
AAAS,352,20th C Chinese Fiction in Tran,01,Discussion,TR,1:15 pm - 2:40 pm
AAAS,363,"Gender,Culture & KoreanSociety",01,Discussion,TR,2:50 pm - 4:15 pm
AAAS,380B,Multicultural Psychology,01,Discussion,TR,8:30 am - 9:55 am
AAAS,380D,Asian&LatAme Immigration to US,02,Discussion,TR,4:25 pm - 5:50 pm
AAAS,380F,Afro-Asian Connections,01,Discussion,M,12:00 pm - 3:00 pm
AAAS,380H,Asians & Jews in Mod US,A 0,Lecture,MW,2:20 pm - 3:20 pm
AAAS,380H,Asians & Jews in Mod US,A01,Discussion,F,12:00 pm - 1:00 pm
AAAS,380H,Asians & Jews in Mod US,A02,Discussion,F,1:10 pm - 2:10 pm
AAAS,380K,Dances of South Asia,01,Discussion,TR,10:05 am - 11:25 am
AAAS,380P,"Migration, Citznshp & Humn Rts",01,Discussion,T,5:50 pm - 8:50 pm
AAAS,380Q,Introduction to Asian Theatre,01,Discussion,TR,4:25 pm - 5:50 pm
AAAS,383B,Language Politics,01,Discussion,TR,11:40 am - 1:05 pm
AAAS,384S,The Politics of Memory,01,Discussion,MWF,9:40 am - 10:40 am
AAAS,386B,Beijing Opera Face Painting,01,Discussion,TR,3:35 pm - 5:45 pm
AAAS,386C,Beijing Opera Combat,01,Discussion,TR,3:35 pm - 5:45 pm
AAAS,397,Independent Study,02,Independent Study,,TBA
AAAS,397,Independent Study,03,Independent Study,,TBA
AAAS,397,Independent Study,04,Independent Study,,TBA
AAAS,397,Independent Study,05,Independent Study,,TBA
AAAS,397,Independent Study,06,Independent Study,,TBA
AAAS,397,Independent Study,07,Independent Study,,TBA
AAAS,397,Independent Study,08,Independent Study,,TBA
AAAS,397,Independent Study,09,Independent Study,,TBA
AAAS,397,Independent Study,10,Independent Study,,TBA
AAAS,397,Independent Study,13,Independent Study,,TBA
AAAS,397,Independent Study,15,Independent Study,,TBA
AAAS,397,Independent Study,16,Independent Study,,TBA
AAAS,397,Independent Study,17,Independent Study,,TBA
AAAS,397,Independent Study,18,Independent Study,,TBA
AAAS,397,Independent Study,19,Independent Study,,TBA
AAAS,397,Independent Study,20,Independent Study,,TBA
AAAS,397,Independent Study,21,Independent Study,,TBA
AAAS,397,Independent Study,22,Independent Study,,TBA
AAAS,397,Independent Study,25,Independent Study,,TBA
AAAS,397,Independent Study,27,Independent Study,,TBA
AAAS,414,Economic Development,01,Discussion,MW,8:05 am - 9:30 am
AAAS,450,Women in PreMod JPN Lit/Cult,01,Discussion,T,4:25 pm - 7:25 pm
AAAS,454,Unresolved Issues:Wars in Asia,90,Seminar,TR,8:30 am - 9:55 am
AAAS,461,Li Bai and Du Fu,01,Discussion,TR,4:25 pm - 5:50 pm
AAAS,463,Medicine and Body in East Asia,01,Discussion,W,4:40 pm - 7:40 pm
AAAS,473,Imperialism In East Asia,01,Seminar,M,3:30 pm - 6:30 pm
AAAS,480C,Asian Migration,01,Discussion,TR,2:50 pm - 4:15 pm
AAAS,480I,Social Justice,01,Seminar,R,1:40 pm - 4:40 pm
AAAS,480I,Social Justice,02,Seminar,T,5:50 pm - 8:50 pm
AAAS,480J,The Korean/American Wave,01,Discussion,M,4:40 pm - 7:40 pm
AAAS,480K,Contemporary Ecologies,90,Discussion,M,8:30 am - 11:30 am
AAAS,480L,Scholarly Methods in Translati,01,Discussion,TR,8:30 am - 9:55 am
AAAS,480N,21st Cent Longings: In Transit,01,Discussion,M,1:10 pm - 4:10 pm
AAAS,480V,Fourth Year Korean I,01,Discussion,MW,4:40 pm - 6:05 pm
AAAS,480Y,Intro Computer Assisted Transl,01,Discussion,M,2:20 pm - 5:20 pm
AAAS,483C,History of Chinese Literature,01,Discussion,MW,7:25 pm - 8:50 pm
AAAS,491,Practicum in Teaching,02,Independent Study,,TBA
AAAS,491,Practicum in Teaching,03,Independent Study,,TBA
AAAS,491,Practicum in Teaching,05,Independent Study,,TBA
AAAS,491,Practicum in Teaching,06,Independent Study,,TBA
AAAS,491,Practicum in Teaching,08,Independent Study,,TBA
AAAS,491,Practicum in Teaching,09,Independent Study,,TBA
AAAS,491,Practicum in Teaching,13,Independent Study,,TBA
AAAS,491,Practicum in Teaching,15,Independent Study,,TBA
AAAS,491,Practicum in Teaching,16,Independent Study,,TBA
AAAS,491,Practicum in Teaching,18,Independent Study,,TBA
AAAS,491,Practicum in Teaching,20,Independent Study,,TBA
AAAS,491,Practicum in Teaching,21,Independent Study,,TBA
AAAS,491,Practicum in Teaching,22,Independent Study,,TBA
AAAS,491,Practicum in Teaching,23,Independent Study,,TBA
AAAS,491,Practicum in Teaching,24,Independent Study,,TBA
AAAS,491,Practicum in Teaching,25,Independent Study,,TBA
AAAS,491,Practicum in Teaching,26,Independent Study,,TBA
AAAS,491,Practicum in Teaching,27,Independent Study,,TBA
AAAS,497,Independent Study,19,Independent Study,,TBA
AAAS,497,Independent Study,23,Independent Study,,TBA
AAAS,498,Honors Thesis I,19,Independent Study,,TBA
AAAS,498,Honors Thesis I,22,Independent Study,,TBA
AAAS,498,Honors Thesis I,23,Independent Study,,TBA
AAAS,531,Unresolved Issues:Wars in Asia,90,Seminar,TR,8:30 am - 9:55 am
AAAS,533,Women in PreMod JPN Lit/Cult,01,Discussion,T,4:25 pm - 7:25 pm
AAAS,580A,Medicine and Body in East Asia,01,Discussion,W,4:40 pm - 7:40 pm
AAAS,580D,Media in the Global South,01,Seminar,MW,1:15 pm - 2:40 pm
AAAS,580H,Fourth Year Korean I,01,Seminar,MW,4:40 pm - 6:05 pm
AAAS,580K,The Korean/American Wave,01,Discussion,M,4:40 pm - 7:40 pm
AAAS,580P,History of Chinese Literature,01,Discussion,MW,7:25 pm - 8:50 pm
AAAS,580Y,Intro Computer Assisted Transl,01,Seminar,M,2:20 pm - 5:20 pm
AAAS,582D,Scholarly Methods in Translati,01,Seminar,TR,8:30 am - 9:55 am
AAAS,595,Internship,19,Internship,,TBA
AAAS,597,Independent Study,02,Independent Study,,TBA
AAAS,597,Independent Study,04,Independent Study,,TBA
AAAS,597,Independent Study,05,Independent Study,,TBA
AAAS,597,Independent Study,07,Independent Study,,TBA
AAAS,597,Independent Study,08,Independent Study,,TBA
AAAS,597,Independent Study,09,Independent Study,,TBA
AAAS,597,Independent Study,10,Independent Study,,TBA
AAAS,597,Independent Study,13,Independent Study,,TBA
AAAS,597,Independent Study,14,Independent Study,,TBA
AAAS,597,Independent Study,16,Independent Study,,TBA
