subject,code,course,section,type,days,time
AAAS,105,Intro To Asian Philosophy(LEC),A 0,Lecture,TR,1:15 pm - 2:40 pm
AAAS,105,Intro To Asian Philosophy(DIS),A01,Discussion,F,8:30 am - 9:30 am
AAAS,105,Intro To Asian Philosophy(DIS),A02,Discussion,F,9:40 am - 10:40 am
AAAS,105,Intro To Asian Philosophy(DIS),A03,Discussion,F,9:40 am - 10:40 am
AAAS,105,Intro To Asian Philosophy(DIS),A04,Discussion,F,10:50 am - 11:50 am
AAAS,188A,Intro to Indian Vocal Music,01,Discussion,TR,2:50 pm - 3:50 pm
AAAS,188F,Chinese Music Ensemble,01,Discussion,MW,1:10 pm - 2:10 pm
AAAS,188F,Chinese Music Ensemble,01,Discussion,MW,1:10 pm - 2:10 pm
AAAS,230,Contemporary Chinese Cinemas,01,Discussion,MW,4:20 pm - 6:40 pm
AAAS,240,Korean Lit & Culture:Pre 20thc,01,Discussion,TR,10:05 am - 11:30 am
AAAS,250,Japanese Cinema,90,Lecture,TR,11:40 am - 1:05 pm
AAAS,252,Mediev/Early Mod JPN Lit/Cult,90,Lecture,TR,4:25 pm - 5:50 pm
AAAS,273,Chinese Civilization,01,Discussion,TR,10:05 am - 11:30 am
AAAS,280E,History of Asian America,01,Discussion,TR,11:40 am - 1:05 pm
AAAS,280J,Comparative Politics of Asia,01,Discussion,MWF,10:50 am - 11:50 am
AAAS,280L,Confucian Ethics,01,Discussion,MW,7:25 pm - 8:50 pm
AAAS,280P,Food &the Korean/American Wave,01,Discussion,MW,4:40 pm - 6:05 pm
AAAS,281T,"Environment & Empire,1750-1950",90,Lecture,TR,11:40 am - 1:05 pm
AAAS,284C,Women's Lives So.Asia&Diasp,01,Discussion,MWF,8:30 am - 9:30 am
AAAS,317,The Economy Of China,01,Discussion,MWF,1:10 pm - 2:10 pm
AAAS,354,The Tale of Genji,90,Lecture,MW,5:50 pm - 7:15 pm
AAAS,355,Aspects of Multilingualism,90,Lecture,TR,1:15 pm - 2:40 pm
AAAS,374,China In The 20th Century,A 0,Lecture,MW,12:00 pm - 1:00 pm
AAAS,374,China In The 20th Century,A01,Discussion,F,12:00 pm - 1:00 pm
AAAS,374,China In The 20th Century,A02,Discussion,F,12:00 pm - 1:00 pm
AAAS,374,China In The 20th Century,A03,Discussion,F,1:10 pm - 2:10 pm
AAAS,374,China In The 20th Century,A04,Discussion,F,1:10 pm - 2:10 pm
AAAS,380B,The Korean Conundrum,01,Discussion,MWF,12:00 pm - 1:00 pm
AAAS,380C,American Race Wars,01,Discussion,TR,1:15 pm - 2:40 pm
AAAS,380K,Dances of South Asia,01,Discussion,TR,1:15 pm - 2:35 pm
AAAS,380N,"Class, Globalizatn & Human Dev",01,Discussion,M,5:50 pm - 8:50 pm
AAAS,382S,Korean Encounters,01,Discussion,TR,2:50 pm - 4:15 pm
AAAS,386D,Beijing Opera Combat II,01,Discussion,TR,3:35 pm - 5:45 pm
AAAS,386E,Beijing Opera Character Types,01,Discussion,TR,3:35 pm - 5:45 pm
AAAS,397,Independent Study,01,Independent Study,,TBA
AAAS,397,Independent Study,02,Independent Study,,TBA
AAAS,397,Independent Study,03,Independent Study,,TBA
AAAS,397,Independent Study,04,Independent Study,,TBA
AAAS,397,Independent Study,05,Independent Study,,TBA
AAAS,397,Independent Study,06,Independent Study,,TBA
AAAS,397,Independent Study,07,Independent Study,,TBA
AAAS,397,Independent Study,08,Independent Study,,TBA
AAAS,397,Independent Study,09,Independent Study,,TBA
AAAS,397,Independent Study,10,Independent Study,,TBA
AAAS,397,Independent Study,11,Independent Study,,TBA
AAAS,397,Independent Study,12,Independent Study,,TBA
AAAS,397,Independent Study,13,Independent Study,,TBA
AAAS,397,Independent Study,15,Independent Study,,TBA
AAAS,397,Independent Study,16,Independent Study,,TBA
AAAS,397,Independent Study,17,Independent Study,,TBA
AAAS,397,Independent Study,18,Independent Study,,TBA
AAAS,397,Independent Study,19,Independent Study,,TBA
AAAS,397,Independent Study,20,Independent Study,,TBA
AAAS,397,Independent Study,21,Independent Study,,TBA
AAAS,397,Independent Study,22,Independent Study,,TBA
AAAS,397,Independent Study,23,Independent Study,,TBA
AAAS,397,Independent Study,24,Independent Study,,TBA
AAAS,397A,Independent Study,17,Independent Study,,TBA
AAAS,431,Confucianism in Korea,01,Discussion,TR,8:30 am - 9:55 am
AAAS,453,Trauma in JPN Lit & Film,90,Lecture,TR,8:30 am - 9:55 am
AAAS,462,Confucius' Analects,01,Discussion,TR,1:15 pm - 2:40 pm
AAAS,480B,Fourth Year Korean II,01,Seminar,M,4:40 pm - 7:40 pm
AAAS,480E,Race in Transnational History,01,Discussion,W,4:40 pm - 7:40 pm
AAAS,480H,"Haunting, Memory, Migrations",01,Seminar,M,1:10 pm - 4:10 pm
AAAS,480J,Feminist & Diasporic Perf. Art,01,Discussion,M,8:30 am - 11:30 am
AAAS,480S,Community Engagement,01,Discussion,M,3:30 pm - 6:30 pm
AAAS,480U,Teach. Chinese as Foreign Lang,01,Discussion,TR,10:05 am - 11:30 am
AAAS,480V,From Bombay to Bollywood,01,Discussion,MW,1:15 pm - 2:40 pm
AAAS,481R,Seminar in Translatn: Japanese,01,Discussion,TR,11:40 am - 1:05 pm
AAAS,483D,Critical Approaches:CHIN Cult.,01,Seminar,T,4:40 pm - 7:40 pm
AAAS,484F,Maritime Asia,01,Discussion,M,3:30 pm - 6:30 pm
AAAS,484G,China's Borderlands,01,Seminar,W,3:30 pm - 6:30 pm
AAAS,491,Practicum in Teaching,01,Independent Study,,TBA
AAAS,491,Practicum in Teaching,02,Independent Study,,TBA
AAAS,491,Practicum in Teaching,03,Independent Study,,TBA
AAAS,491,Practicum in Teaching,04,Independent Study,,TBA
AAAS,491,Practicum in Teaching,05,Independent Study,,TBA
AAAS,491,Practicum in Teaching,06,Independent Study,,TBA
AAAS,491,Practicum in Teaching,07,Independent Study,,TBA
AAAS,491,Practicum in Teaching,08,Independent Study,,TBA
AAAS,491,Practicum in Teaching,09,Independent Study,,TBA
AAAS,491,Practicum in Teaching,10,Independent Study,,TBA
AAAS,491,Practicum in Teaching,11,Independent Study,,TBA
AAAS,491,Practicum in Teaching,13,Independent Study,,TBA
AAAS,491,Practicum in Teaching,15,Independent Study,,TBA
AAAS,491,Practicum in Teaching,16,Independent Study,,TBA
AAAS,491,Practicum in Teaching,17,Independent Study,,TBA
AAAS,491,Practicum in Teaching,18,Independent Study,,TBA
AAAS,491,Practicum in Teaching,19,Independent Study,,TBA
AAAS,491,Practicum in Teaching,20,Independent Study,,TBA
AAAS,491,Practicum in Teaching,21,Independent Study,,TBA
AAAS,491,Practicum in Teaching,22,Independent Study,,TBA
AAAS,491,Practicum in Teaching,23,Independent Study,,TBA
AAAS,491,Practicum in Teaching,24,Independent Study,,TBA
AAAS,491,Practicum in Teaching,25,Independent Study,,TBA
AAAS,491,Practicum in Teaching,27,Independent Study,,TBA
AAAS,495,Internship in AAAS,01,Internship,,TBA
AAAS,497,Independent Study,06,Independent Study,,TBA
AAAS,497,Independent Study,10,Independent Study,,TBA
AAAS,497,Independent Study,13,Independent Study,,TBA
AAAS,497,Independent Study,20,Independent Study,,TBA
AAAS,497,Independent Study,23,Independent Study,,TBA
AAAS,497,Independent Study,27,Independent Study,,TBA
AAAS,499,Honors Thesis II,01,Independent Study,,TBA
AAAS,499,Honors Thesis II,06,Independent Study,,TBA
AAAS,499,Honors Thesis II,19,Independent Study,,TBA
AAAS,499,Honors Thesis II,23,Independent Study,,TBA
AAAS,530,Trauma in JPN Lit & Film,90,Lecture,TR,8:30 am - 9:55 am
AAAS,580D,Critical Approaches:CHIN Cult.,01,Seminar,T,4:40 pm - 7:40 pm
AAAS,580F,Race in Transnational History,01,Seminar,W,4:40 pm - 7:40 pm
AAAS,580H,Fourth Year Korean II,01,Seminar,M,4:40 pm - 7:40 pm
AAAS,580Y,Teach. Chinese as Foreign Lang,01,Seminar,TR,10:05 am - 11:30 am
AAAS,582B,Seminar in Translatn: Japanese,01,Seminar,TR,11:40 am - 1:05 pm
AAAS,595,Internship,19,Internship,,TBA
AAAS,597,Independent Study,04,Independent Study,,TBA
AAAS,597,Independent Study,05,Independent Study,,TBA
AAAS,597,Independent Study,06,Independent Study,,TBA
AAAS,597,Independent Study,07,Independent Study,,TBA
AAAS,597,Independent Study,08,Independent Study,,TBA
AAAS,597,Independent Study,09,Independent Study,,TBA
AAAS,597,Independent Study,10,Independent Study,,TBA
AAAS,597,Independent Study,13,Independent Study,,TBA
AAAS,597,Independent Study,15,Independent Study,,TBA
AAAS,597,Independent Study,16,Independent Study,,TBA
AAAS,597,Independent Study,17,Independent Study,,TBA
AAAS,597,Independent Study,18,Independent Study,,TBA
AAAS,597,Independent Study,19,Independent Study,,TBA
AAAS,597,Independent Study,20,Independent Study,,TBA
AAAS,597,Independent Study,21,Independent Study,,TBA
AAAS,597,Independent Study,22,Independent Study,,TBA
AAAS,597,Independent Study,23,Independent Study,,TBA
AAAS,599,Thesis,04,Independent Study,,TBA
AAAS,599,Thesis,05,Independent Study,,TBA
AAAS,599,Thesis,13,Independent Study,,TBA
AAAS,599,Thesis,14,Independent Study,,TBA
AAAS,599,Thesis,16,Independent Study,,TBA
AAAS,599,Thesis,17,Independent Study,,TBA
AAAS,599,Thesis,18,Independent Study,,TBA
AAAS,599,Thesis,19,Independent Study,,TBA
